MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2015,1084,8,OXY USA WTP LP,10/26/2015,Producer,REEVES,42726,0,0,Crude,17,15,2,Tank Battery,Equipment Failure,Other,None,,CENTRAL TANK BATTERY,REMEDIATE IN PLACE,"ELAND STATE ""14""",WOLFBONE (TREND AREA)
2015,1083,8,OXY USA WTP LP,10/26/2015,Producer,REEVES,40365,0,0,Crude,14,0,14,Tank Battery,Human Error - Other,Other,None,,"SEC 29, BLK 51, T7S, T&P RR CO",RECOVER FLUIDS & REMEDIATE IN PLACE,CHEVRON MINERALS 29,WOLFBONE (TREND AREA)
2015,1111,8,"WHEELER ENERGY, LLC",10/26/2015,Producer,LOVING,29452,0,0,Crude,30,15,15,Tank Battery,Equipment Failure,Other,None,,"SEC 89, BLK 1, W&NW RR SUR",REMEDIATION,"WHEAT, IDA M.",WHEAT (CHERRY CANYON)
2015,1088,8,ENERGEN RESOURCES CORPORATION,10/25/2015,Producer,GLASSCOCK,40495,0,0,Crude,10,9,1,Tank Battery,Equipment Failure,Other,None,,"31.667676, -101.407711","FIX HIGH LEVEL ALARMS, PICK UP AS MUCH FLUID AS POSSIBLE",COLORADO,SPRABERRY (TREND AREA)
2015,1471,8,"SHERIDAN PRODUCTION COMPANY, LLC",10/25/2015,Producer,ANDREWS,17453,0,0,Crude,20,0,20,Tank Battery,Equipment Failure,Other,None,,"3215.646, 10242.047",ON SITE REMEDIATION,"THORNBERRY, M. A. CONS. II",FUHRMAN-MASCHO
2015,1210,7B,BJB TRANSPORT LLC,10/25/2015,Transporter,EASTLAND,29482,0,0,Crude,120,0,120,Tank Battery,Theft,Other,None,,"BLK 4, H&TC RR SUR","INVESTIGATION CONDUCTED, SECURITY CAMERAS INSTALLED","MOORE, W. G.",EASTLAND COUNTY REGULAR
2015,1081,8,BURLINGTON RES O & G CO-MIDLAND,10/25/2015,Producer,CRANE,1224,0,0,Crude,5,5,0,Tank Battery,Corrosion - Rust,Other,None,,"31.345045, 102.252295",REMEDIATION ON GOING,"WADDELL, W. N.",DUNE
2015,1109,8,"DEVON ENERGY PRODUCTION CO, L.P.",10/25/2015,Producer,LOVING,46144,0,0,Crude,95,95,0,Tank Battery,Equipment Failure,Other,None,,"SEC 9, BLK C26, PSL BRUNSON, G.S.","VAC TRUCK, RESTORED TO AN EMPTY TANK",BRUNSON TRUST 16,PHANTOM (WOLFCAMP)
2015,1144,9,TARGA MIDSTREAM SERVICES LLC,10/25/2015,Other,WISE,0,0,0,Combined,8,8,0,Tank Battery,Equipment Failure,Other,None,,"331735.38, 972744.71",ALL IMPACTED SOIL REMOVED & DISPOSED,BOHANNON26,NO FIELD NAME
2015,1237,4,"EOG RESOURCES, INC.",10/25/2015,Producer,KLEBERG,0,172386,0,Crude,40,40,0,Tank Battery,Corrosion - Rust,Other,None,,"27.315324, -98.016482","REMEDIATION, CONTAMINATED SOIL HAULED OFF",KING RANCH LAGUNA LARGA,T-C-B (VXBG CONSOLIDATED)
